A1: 5.04,-3.31,7.50,400160
A2: -0.87,4.16,-8.51,401428
A3: 9.79,-0.32,-0.96,402696
A0: -3.09,-3.40,9.30,407812
A1: 4.98,-3.27,7.55,409100
A2: -0.79,4.20,-8.46,410388
A3: 9.80,-0.30,-0.75,411648
A0: -3.37,-3.41,9.11,412916
A1: 5.07,-3.30,7.48,414192
A2: -0.78,4.17,-8.52,415472
A3: 9.81,-0.28,-0.76,416740
A0: -3.36,-3.07,9.32,418000
A1: 5.03,-3.31,7.46,419276
A2: -0.82,4.20,-8.50,420552
A3: 9.73,-0.36,-0.70,421804
A0: -3.04,-3.29,9.20,423064
A1: 4.98,-3.38,7.59,424336
A2: -0.67,4.31,-8.47,425620
A3: 9.75,-0.42,-0.65,426888
A0: -3.23,-3.32,8.99,428140
A1: 4.91,-3.37,7.67,429420
A2: -0.85,4.22,-8.61,430700
A3: 9.74,-0.44,-0.81,435792
A0: -3.24,-2.88,8.90,437056
A1: 5.08,-3.37,7.53,438336
A2: -0.73,4.18,-8.51,439608
A3: 9.79,-0.40,-0.47,440872
A0: -3.38,-2.26,9.00,442140
A1: 5.04,-3.39,7.54,443408
A2: -0.67,4.29,-8.40,444684
A3: 9.74,-0.47,-0.63,445952
A0: -3.19,-1.77,9.03,447220
A1: 5.07,-3.28,7.53,448488
A2: -0.28,4.38,-8.43,449756
A3: 9.71,-0.50,-0.54,451024
A0: -3.06,-1.83,8.79,452292
A1: 5.09,-3.37,7.53,453564
A2: -0.79,4.28,-8.57,454832
A3: 9.72,-0.49,-0.65,456104
A0: -2.91,-1.59,8.82,457364
A1: 5.17,-3.27,7.57,462472
A2: -1.30,4.13,-8.61,463748
A3: 9.67,-0.58,-0.49,465008
A0: -1.33,-1.39,8.49,466268
A1: 5.09,-3.35,7.44,467528
A2: -0.50,4.13,-8.54,468804
A3: 9.79,-0.56,-0.43,470064
A0: -0.46,-0.60,8.33,471320
A1: 5.21,-3.31,7.35,472572
A2: -0.94,4.38,-8.36,473848
A3: 9.74,-0.32,-0.51,475108
A0: -0.72,-0.70,8.41,476360
A1: 5.35,-3.20,7.27,477620
A2: -1.06,4.18,-8.61,478904
A3: 9.81,-0.51,-0.57,480160
A0: -0.29,-1.33,7.89,481408
A1: 5.21,-3.43,7.32,482668
A2: -0.97,4.02,-8.57,483940
A3: 9.76,-0.44,-0.63,485204
A0: -0.46,-1.58,8.10,490300
A1: 5.34,-3.50,7.12,491552
A2: -0.93,4.04,-8.65,492820
A3: 9.76,-0.46,-0.79,494084
A0: -0.11,-1.93,7.94,495356
A1: 5.41,-3.24,7.33,496616
A2: -0.78,4.57,-8.41,497880
A3: 9.76,-0.36,-0.84,499148
A0: 3.09,0.28,8.22,500416
A1: 5.32,-3.23,7.15,501672
A2: -0.96,4.19,-8.81,502936
A3: 9.78,-0.35,-0.54,504208
A0: 1.61,-0.64,8.83,505464
A1: 5.16,-3.05,7.16,506724
A2: -1.08,4.22,-8.50,507988
A3: 9.84,-0.23,-0.57,509244
A0: -1.66,-2.28,7.87,510500
A1: 5.58,-3.33,7.44,511780
A2: -0.72,4.29,-8.45,516892
A3: 9.75,-0.54,-0.48,518152
A0: -0.48,-2.43,8.24,519412
A1: 5.63,-2.80,7.35,528808
A2: -0.53,3.97,-8.25,537920
A3: 9.87,-0.43,-0.75,547316
A0: -1.47,-0.27,6.56,556704
A1: 6.47,-3.08,5.94,557960
A2: -0.97,4.27,-8.34,559236
A3: 9.73,-0.37,-1.09,560504
A0: -1.41,-0.77,6.79,561760
A1: 6.13,-2.93,6.67,563024
A2: -1.05,4.20,-8.49,564296
A3: 9.78,-0.31,-0.74,565552
A0: -2.81,-2.60,11.11,566812
A1: 5.47,-3.38,7.17,568100
A2: -1.01,4.22,-8.51,569372
A3: 9.75,-0.48,-0.33,570628
A0: -3.06,-2.37,10.28,571892
A1: 5.09,-3.51,8.00,576888
A2: -1.02,4.17,-8.35,578168
A3: 9.62,-0.72,-0.94,579428
A0: -3.70,-2.94,9.17,580684
A1: 5.14,-3.34,8.22,581972
A2: -1.26,4.03,-8.85,583240
A3: 9.81,-0.53,-0.11,584512
A0: -1.85,-1.60,7.76,585760
A1: 5.03,-3.37,8.14,587024
A2: -1.11,4.20,-8.34,588296
A3: 9.72,-0.50,-0.56,589556
A0: -2.56,-1.63,8.20,590820
A1: 4.89,-3.52,7.65,592088
A2: -1.03,4.19,-8.67,593364
A3: 9.68,-0.43,-1.13,594636
A0: -3.69,-2.04,8.30,595888
A1: 5.54,-3.51,7.30,597164
A2: -0.95,4.17,-8.89,598444
A3: 9.74,-0.43,-0.22,603412
A0: -3.84,-3.28,9.69,604672
A1: 5.74,-2.67,7.40,605964
A2: -1.23,4.13,-8.42,607236
A3: 9.80,-0.50,-0.65,608496
A0: -2.70,-2.66,8.71,609768
A1: 5.14,-2.94,7.13,611052
A2: -0.78,4.02,-8.48,612324
A3: 9.77,-0.46,-0.49,613588
A0: -2.85,-3.05,8.24,614856
A1: 5.31,-3.84,6.49,616140
A2: -0.80,4.40,-8.08,617416
A3: 9.75,-0.43,-0.24,618680
A0: -3.13,-3.31,8.46,619940
A1: 5.69,-2.40,6.68,621216
A2: -0.88,4.16,-8.12,622492
A3: 9.75,-0.41,-0.52,623756
A0: -2.59,-3.08,8.93,625012
A1: 6.76,-2.67,6.42,630144
A2: -0.76,4.36,-8.21,631424
A3: 9.83,-0.30,-0.36,632696
A0: -3.91,-4.36,10.15,633956
A1: 6.13,-2.77,5.76,635232
A2: -1.01,4.22,-8.22,636512
A3: 9.77,-0.43,-0.78,637768
A0: -2.56,-3.94,8.78,639028
A1: 5.44,-2.44,5.58,640304
A2: -1.00,4.13,-8.19,641580
A3: 9.71,-0.37,-0.48,642860
A0: -1.83,-3.64,8.51,644112
A1: 6.05,-2.63,6.28,645384
A2: -1.33,3.49,-9.17,646656
